Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0001,25/02/01,Ath Bilbao,Numancia,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,25/02/01,Barcelona,Sociedad,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,25/02/01,Malaga,Las Palmas,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
0001,25/02/01,Oviedo,Osasuna,2,3,A,2.0,0.0,H,,,,,,,,,,,,,
0001,25/02/01,Vallecano,Espanol,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
0001,25/02/01,Santander,Mallorca,2,1,H,2.0,1.0,H,,,,,,,,,,,,,
0001,25/02/01,Valencia,Villarreal,3,1,H,1.0,1.0,D,,,,,,,,,,,,,
0001,25/02/01,Valladolid,Zaragoza,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,03/03/01,Mallorca,La Coruna,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
0001,03/03/01,Real Madrid,Barcelona,2,2,D,2.0,1.0,H,,,,,,,,,,,,,
0001,03/03/01,Sociedad,Vallecano,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,03/03/01,Zaragoza,Valencia,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
0001,04/03/01,Celta,Oviedo,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,04/03/01,Espanol,Alaves,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,04/03/01,Las Palmas,Ath Bilbao,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
0001,04/03/01,Numancia,Santander,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,04/03/01,Osasuna,Valladolid,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
0001,04/03/01,Villarreal,Malaga,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
0001,10/03/01,Ath Bilbao,Villarreal,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
0001,10/03/01,La Coruna,Numancia,4,1,H,0.0,0.0,D,,,,,,,,,,,,,
0001,10/03/01,Valencia,Osasuna,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,11/03/01,Alaves,Vallecano,4,2,H,1.0,1.0,D,,,,,,,,,,,,,
0001,11/03/01,Barcelona,Mallorca,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
0001,11/03/01,Malaga,Zaragoza,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
0001,11/03/01,Oviedo,Espanol,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
0001,11/03/01,Real Madrid,Sociedad,4,0,H,2.0,0.0,H,,,,,,,,,,,,,
0001,11/03/01,Santander,Las Palmas,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
0001,11/03/01,Valladolid,Celta,1,2,A,1.0,0.0,H,,,,,,,,,,,,,
0001,17/03/01,Las Palmas,La Coruna,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
0001,18/03/01,Celta,Valencia,3,2,H,0.0,1.0,A,,,,,,,,,,,,,
0001,18/03/01,Espanol,Valladolid,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,18/03/01,Mallorca,Real Madrid,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
0001,18/03/01,Numancia,Barcelona,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
0001,18/03/01,Osasuna,Malaga,3,3,D,1.0,2.0,A,,,,,,,,,,,,,
0001,18/03/01,Sociedad,Alaves,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
0001,18/03/01,Vallecano,Oviedo,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
0001,18/03/01,Villarreal,Santander,4,2,H,2.0,0.0,H,,,,,,,,,,,,,
0001,18/03/01,Zaragoza,Ath Bilbao,2,2,D,2.0,1.0,H,,,,,,,,,,,,,
0001,31/03/01,La Coruna,Villarreal,4,2,H,2.0,0.0,H,,,,,,,,,,,,,
0001,31/03/01,Malaga,Celta,1,4,A,1.0,2.0,A,,,,,,,,,,,,,
